Real_TB,MLP_TB,LSTM_TB,GRU_TB,TFKAN_TB,PINT_TB,EXP_TB,ARIMA_TB,PROPHET_TB,MOE_TB
378.92075,379.5646,377.81714,378.44547,375.85333,378.07825,377.0092,380.199,379.4580587771831,378.8357
378.92456,379.5567,377.8111,378.4391,375.80713,378.1056,377.02295,380.2271,379.45276672582787,378.8287
378.93262,379.57864,377.8019,378.45004,375.83844,378.13235,377.03668,380.2552,379.47011661630177,378.84503
378.9563,379.62128,377.79517,378.4706,375.84064,378.15836,377.05045,380.28333,379.5072468741445,378.87158
378.9501,379.63712,377.79248,378.4949,375.84012,378.18365,377.0642,380.31143,379.5460642462791,378.88626
378.9489,379.62656,377.79346,378.51187,375.8189,378.20786,377.07797,380.3395,379.57296316570023,378.88562
378.98254,379.63644,377.7937,378.52676,375.81818,378.23053,377.09174,380.36765,379.59154414013165,378.89514
379.06308,379.655,377.79492,378.54892,375.82098,378.25223,377.10547,380.39572,379.61664336298327,378.91028
379.1425,379.6923,377.79758,378.5826,375.83743,378.27405,377.11923,380.42386,379.6571033576024,378.93765
379.25864,379.7448,377.80283,378.61768,375.85785,378.29706,377.13303,380.45197,379.7057665680779,378.9734
379.33676,379.78442,377.8085,378.6587,375.87982,378.32236,377.1468,380.48004,379.7470411761319,379.00327
379.4154,379.8248,377.81708,378.69284,375.88477,378.35025,377.16055,380.50818,379.7738450004217,379.0304
379.48157,379.88168,377.82858,378.72525,375.9038,378.38077,377.1743,380.53625,379.795886283432,379.0657
379.5896,379.91116,377.84354,378.75623,375.91855,378.41364,377.18805,380.56436,379.8301888568165,379.08966
379.6507,379.96725,377.8766,378.7971,375.9428,378.44937,377.2018,380.5925,379.8832487557803,379.13068
379.91104,380.07098,377.9658,378.83066,376.03928,378.4875,377.21558,380.62057,379.9435236096014,379.20428
380.0549,380.1512,377.98987,378.90436,376.08374,378.52948,377.22934,380.64868,379.99262794082085,379.2589
380.12082,380.22418,378.00204,378.97073,376.10635,378.5769,377.24307,380.6768,380.0246464063255,379.3051
380.20657,380.30096,378.0081,379.0026,376.13855,378.6287,377.25684,380.7049,380.0538342280175,379.34946
380.27597,380.35104,378.01862,379.0278,376.14526,378.68405,377.2706,380.733,380.1018654414593,379.38138
380.30444,380.44083,378.05228,379.05093,376.17685,378.74197,377.2844,380.7611,380.17612031754396,379.43683
380.51407,380.57837,378.16046,379.0654,376.36774,378.80106,377.29816,380.7892,380.26014395067034,379.53378
380.52917,380.6491,378.1618,379.12558,376.40372,378.8614,377.31192,380.81732,380.3263910614984,379.5803
380.52075,380.6961,378.1526,379.15057,376.3995,378.92307,377.32565,380.84543,380.35996122752016,379.60617
