forecast_step,MoE_TB
1627,459.835
1628,459.8762
1629,459.91367
1630,459.9517
1631,459.99326
1632,460.03793
1633,460.08258
1634,460.1251
1635,460.16595
1636,460.20792
1637,460.2522
1638,460.29764
1639,460.34143
1640,460.38275
1641,460.42313
1642,460.46536
1643,460.51056
1644,460.5566
1645,460.60056
1646,460.64148
1647,460.68173
1648,460.72498
1649,460.7724
1650,460.8212
1651,460.8667
1652,460.90637
1653,460.94214
1654,460.97842
1655,461.01862
1656,461.06183
1657,461.1052
1658,461.14627
1659,461.18573
1660,461.2263
1661,461.26926
1662,461.31348
1663,461.35614
1664,461.3961
1665,461.43512
1666,461.47604
1667,461.52014
1668,461.56516
1669,461.60797
1670,461.64755
1671,461.68655
1672,461.7287
1673,461.7753
1674,461.82315
1675,461.86765
1676,461.90613
1677,461.9404
1678,461.97537
1679,462.0142
1680,462.05637
1681,462.09872
1682,462.13852
1683,462.1768
1684,462.2162
1685,462.25806
1686,462.30133
1687,462.34293
1688,462.38168
1689,462.4194
1690,462.4593
1691,462.50238
1692,462.54654
1693,462.58835
1694,462.62674
1695,462.66443
1696,462.70557
1697,462.75134
1698,462.79858
1699,462.84222
1700,462.87943
1701,462.91232
1702,462.94583
1703,462.9836
1704,463.02487
1705,463.0662
1706,463.10507
1707,463.1423
1708,463.18057
1709,463.22174
1710,463.26422
1711,463.30505
1712,463.3429
1713,463.37964
1714,463.41864
1715,463.4612
1716,463.50488
1717,463.5461
1718,463.58368
1719,463.62073
1720,463.6613
1721,463.70688
1722,463.75406
1723,463.7975
1724,463.83408
1725,463.86618
1726,463.89893
1727,463.93622
1728,463.97736
1729,464.0186
1730,464.05728
1731,464.09415
1732,464.13226
1733,464.1734
1734,464.21603
1735,464.25687
1736,464.2946
1737,464.3313
1738,464.37033
1739,464.41312
1740,464.45718
1741,464.4986
1742,464.5363
1743,464.57333
1744,464.6142
1745,464.66034
1746,464.70822
1747,464.75204
1748,464.78876
1749,464.82068
1750,464.85333
1751,464.89078
1752,464.93225
1753,464.97375
1754,465.01263
1755,465.04965
1756,465.08786
1757,465.12933
1758,465.17224
1759,465.21332
1760,465.25116
1761,465.28775
1762,465.32693
1763,465.36993
1764,465.41418
1765,465.45578
1766,465.49338
1767,465.53018
1768,465.57098
1769,465.61734
1770,465.66544
1771,465.70926
1772,465.7455
1773,465.7769
1774,465.80887
1775,465.84573
1776,465.8869
1777,465.92813
1778,465.9665
1779,466.00284
1780,466.04047
1781,466.08145
1782,466.12396
1783,466.16446
1784,466.2015
1785,466.23734
1786,466.27576
1787,466.31824
1788,466.36206
1789,466.40295
1790,466.43967
1791,466.4756
1792,466.51572
1793,466.56165
1794,466.60953
1795,466.65274
1796,466.68817
1797,466.71826
1798,466.74915
1799,466.78528
1800,466.82584
1801,466.8665
1802,466.9041
1803,466.9397
1804,466.97665
1805,467.01712
1806,467.0594
1807,467.09958
1808,467.13608
1809,467.17133
1810,467.20935
1811,467.25177
1812,467.2956
1813,467.33646
1814,467.3729
1815,467.40863
1816,467.44882
1817,467.49518
1818,467.5435
1819,467.58725
1820,467.62268
1821,467.65256
1822,467.68347
1823,467.71985
1824,467.76093
1825,467.80222
1826,467.8404
1827,467.87643
1828,467.9141
1829,467.95535
1830,467.99857
1831,468.0396
1832,468.07693
1833,468.11288
1834,468.15195
1835,468.19547
1836,468.2406
1837,468.2826
1838,468.32013
1839,468.35684
1840,468.3983
1841,468.44617
1842,468.49615
1843,468.54132
1844,468.5779
1845,468.60867
1846,468.6405
1847,468.678
1848,468.72043
1849,468.7631
1850,468.80258
1851,468.83975
1852,468.87863
1853,468.92136
1854,468.96588
1855,469.0083
1856,469.04678
1857,469.08386
1858,469.12415
1859,469.16907
1860,469.2156
1861,469.25885
1862,469.29742
1863,469.3352
1864,469.3778
1865,469.4271
1866,469.47858
1867,469.5249
1868,469.56244
1869,469.594
1870,469.62653
1871,469.665
